REF_CAT_ID;REF_CAT_LABEL;REF_CAT_DESC;TRA_CREATED;TRA_UPDATED
CAT1;LABEL FOR CATEGORY 1;DESCRIPTION FOR CATEGORY 1;2014-07-09 23:17:35;2013-05-08 11:24:24
CAT2;LABEL FOR CATEGORY 2;DESCRIPTION FOR CATEGORY 2;2014-04-06 21:24:41;2012-07-02 12:28:49
CAT3;LABEL FOR CATEGORY 3;DESCRIPTION FOR CATEGORY 3;2012-09-09 12:57:51;2011-06-02 12:56:25
CAT4;LABEL FOR CATEGORY 4;DESCRIPTION FOR CATEGORY 4;2013-07-07 13:51:14;2012-08-07 22:18:44
CAT5;LABEL FOR CATEGORY 5;DESCRIPTION FOR CATEGORY 5;2013-01-09 21:48:37;2012-03-03 21:33:54
CAT6;LABEL FOR CATEGORY 6;DESCRIPTION FOR CATEGORY 6;2013-03-02 23:53:53;2012-01-07 21:12:38
CAT7;LABEL FOR CATEGORY 7;DESCRIPTION FOR CATEGORY 7;2012-02-01 21:46:49;2013-07-07 23:17:32
CAT8;LABEL FOR CATEGORY 8;DESCRIPTION FOR CATEGORY 8;2013-03-08 13:38:28;2013-05-01 11:35:49
CAT9;LABEL FOR CATEGORY 9;DESCRIPTION FOR CATEGORY 9;2014-09-02 21:23:21;2014-02-02 12:25:17
CAT10;LABEL FOR CATEGORY 10;DESCRIPTION FOR CATEGORY 10;2012-04-04 22:37:45;2014-02-04 22:24:12
CAT11;LABEL FOR CATEGORY 11;DESCRIPTION FOR CATEGORY 11;2013-07-06 12:42:11;2013-02-09 22:25:48
CAT12;LABEL FOR CATEGORY 12;DESCRIPTION FOR CATEGORY 12;2012-03-03 12:41:55;2013-06-07 21:22:21
CAT13;LABEL FOR CATEGORY 13;DESCRIPTION FOR CATEGORY 13;2014-09-06 21:29:57;2012-09-04 23:14:39
CAT14;LABEL FOR CATEGORY 14;DESCRIPTION FOR CATEGORY 14;2012-03-05 23:47:31;2011-05-06 22:27:26
CAT15;LABEL FOR CATEGORY 15;DESCRIPTION FOR CATEGORY 15;2013-09-04 12:58:28;2013-03-04 21:59:18
CAT16;LABEL FOR CATEGORY 16;DESCRIPTION FOR CATEGORY 16;2012-03-08 23:58:19;2014-06-09 13:24:32
CAT17;LABEL FOR CATEGORY 17;DESCRIPTION FOR CATEGORY 17;2011-05-08 22:19:18;2013-02-03 11:53:53
CAT18;LABEL FOR CATEGORY 18;DESCRIPTION FOR CATEGORY 18;2013-05-08 11:53:15;2013-09-07 21:59:38
CAT19;LABEL FOR CATEGORY 19;DESCRIPTION FOR CATEGORY 19;2013-07-04 12:24:19;2011-09-08 11:33:34
CAT20;LABEL FOR CATEGORY 20;DESCRIPTION FOR CATEGORY 20;2012-01-07 21:51:41;2013-06-03 13:58:43
CAT21;LABEL FOR CATEGORY 21;DESCRIPTION FOR CATEGORY 21;2012-02-04 13:34:57;2012-08-09 21:12:22
CAT22;LABEL FOR CATEGORY 22;DESCRIPTION FOR CATEGORY 22;2014-01-04 11:37:34;2011-07-06 21:37:26
CAT23;LABEL FOR CATEGORY 23;DESCRIPTION FOR CATEGORY 23;2012-02-09 11:17:23;2012-09-02 23:21:22
