suppid;name;status;addr1;addr2;city;state;zip;phone
1;supplier-1;O;Cedar Street;Locust Street;EAST IRVINE;California;92650;+1-949-1682405
2;supplier-2;,;Pine Street;Washington Street;COULTERVILLE;Illinois;62237;+1-618-1726934
3;supplier-3;,;Elm Street;Railroad Street;LEBANON;Oklahoma;73440;+1-580-4947381
4;supplier-4;O;Locust Street;Oak Street;WHITING;Indiana;46394;+1-219-0994285
5;supplier-5;O;Pine Street;Green Street;SAXE;Virginia;23967;+1-804-5852366
6;supplier-6;O;Elm Street;13th Street;RINARD;Iowa;50587;+1-515-6871030
7;supplier-7;,;Central Street;Valley Street;SAN FERNANDO;California;91341;+1-818-4219619
8;supplier-8;';15th Street;Washington Street;ARDEN;North Carolina;28704;+1-828-0307034
9;supplier-9;O;Hillcrest Street;Maple Street;TITUSVILLE;New Jersey;8560;+1-609-8879365
10;supplier-10;K;Pine Street;Hickory Street;COKEVILLE;Wyoming;83114;+1-307-6923885
11;supplier-11;K;7th Street;Eighth Street;MARYSVALE;Utah;84750;+1-435-5818488
12;supplier-12;';12th Street;10th Street;MEYERSVILLE;Texas;77974;+1-512-3951990
13;supplier-13;';Willow Street;First Street;BUFFALO GROVE;Illinois;60089;+1-847-5249000
14;supplier-14;O;North Street;Lakeview Street;MOORPARK;California;93020;+1-805-7681303
15;supplier-15;';Cedar Street;Fifth Street;MARICAO;Puerto Rico;606;+1-787-0422578
16;supplier-16;,;Railroad Street;Highland Street;FOSTER;Oklahoma;73434;+1-580-1624523
17;supplier-17;K;Hill Street;Broadway Street;TETERBORO;New Jersey;7608;+1-201-2465492
18;supplier-18;K;Woodland Street;Hill Street;CHIPPEWA LAKE;Ohio;44215;+1-330-3917263
19;supplier-19;K;Johnson Street;East Street;CADYVILLE;New York;12918;+1-518-8144791
20;supplier-20;';13th Street;Sycamore Street;ROSSVILLE;Pennsylvania;17358;+1-717-7134429
21;supplier-21;,;Willow Street;Dogwood Street;DELMONT;South Dakota;57330;+1-605-7635196
22;supplier-22;K;13th Street;Third Street;WARRINGTON;Pennsylvania;18976;+1-215-4828879
23;supplier-23;O;Pine Street;Ridge Street;VAN BUREN POINT;New York;14166;+1-716-4269666
24;supplier-24;,;Hill Street;Fourth Street;FINLEY;Oklahoma;74543;+1-580-2895210
25;supplier-25;,;Jefferson Street;Central Street;DEAVER;Wyoming;82421;+1-307-6076879
26;supplier-26;,;First Street;10th Street;BAILEYVILLE;Maine;4694;+1-207-6004009
27;supplier-27;K;1st Street;Main Street;LITTLE ROCK;South Carolina;29567;+1-843-6076753
28;supplier-28;';Center Street;Elm Street;FLINTSTONE;Georgia;30725;+1-706-9345826
29;supplier-29;O;Hillcrest Street;Lee Street;CLARENCE;New York;14031;+1-716-6088860
30;supplier-30;';4th Street;8th Street;DEER RIVER;Minnesota;56636;+1-218-7876920
31;supplier-31;O;Church Street;4th Street;ARENAS VALLEY;New Mexico;88022;+1-505-6581023
32;supplier-32;O;Center Street;Spring Street;MILLADORE;Wisconsin;54454;+1-715-5278429
33;supplier-33;K;Dogwood Street;7th Street;WEST TOWNSEND;Massachusetts;1474;+1-978-1435817
34;supplier-34;K;Main Street;Spring Street;RIMROCK;Arizona;86335;+1-520-3768922
35;supplier-35;,;View Street;Thirteenth Street;NEW CUYAMA;California;93254;+1-805-0485369
36;supplier-36;,;Broadway Street;Hickory Street;NALLEN;West Virginia;26680;+1-304-6845997
37;supplier-37;O;Eighth Street;Miller Street;GREENDELL;New Jersey;7839;+1-973-2828432
38;supplier-38;';Lee Street;Forest Street;LYLES;Tennessee;37098;+1-931-7103331
39;supplier-39;O;Church Street;Maple Street;LEESBURG;Indiana;46538;+1-219-7931359
40;supplier-40;,;Lincoln Street;Sixth Street;BALDWIN CITY;Kansas;66006;+1-785-6696408
41;supplier-41;O;Elm Street;Franklin Street;SONNETTE;Montana;59348;+1-406-1023678
42;supplier-42;K;Hillcrest Street;River Street;AVELLA;Pennsylvania;15312;+1-724-9350386
43;supplier-43;O;Pine Street;Locust Street;SAINT GEORGE;South Carolina;29477;+1-843-6884499
44;supplier-44;K;Smith Street;Center Street;EAST TALLASSEE;Alabama;36023;+1-334-8071572
45;supplier-45;K;Maple Street;Taylor Street;GRAY COURT;South Carolina;29645;+1-864-2523409
46;supplier-46;,;1st Street;Miller Street;LAGUNA PARK;Texas;76644;+1-0-906217764
47;supplier-47;';Davis Street;Main Street;FREMONT;Nebraska;68025;+1-402-0793035
48;supplier-48;';Laurel Street;First Street;HUMACAO;Puerto Rico;791;+1-787-9518283
49;supplier-49;,;East Street;Center Street;ELKHORN;Wisconsin;53121;+1-414-0946571
